"Measurement","statistic","value","text"
"DBP","N (excl. missing)","40","N (excl. missing):  40"
"DBP","n increased","11","n increased:  11"
"DBP","n decreased","27","n decreased:  27"
"DBP","n no change","2","n no change:  2"
"DBP","pre-venesection mean","74.83","pre-venesection mean:  74.83"
"DBP","post-venesection mean","71.3","post-venesection mean:  71.3"
"DBP","bias (absolute)","-3.520e+00 (-5.850e+00, -1.100e+00)","bias (absolute):  -3.520e+00 (-5.850e+00, -1.100e+00)"
"DBP","bias (relative)"," -5.2 ( -8.3,  -2.1)","bias (relative):   -5.2 ( -8.3,  -2.1)"
"DBP","Correlation","0.721 ( 0.553, 0.864)","Correlation:  0.721 ( 0.553, 0.864)"
"DBP","Coefficient of variation (CV)","-2.18 ( -7.15, -1.09)","Coefficient of variation (CV):  -2.18 ( -7.15, -1.09)"
"DBP","inverse CV","-0.458 (-0.906, -0.133)","inverse CV:  -0.458 (-0.906, -0.133)"
"DBP","log-odds","-0.847 (-1.640, -0.251)","log-odds:  -0.847 (-1.640, -0.251)"
"DBP","limits of agreement (absolute)","(-18.23,  11.81)","limits of agreement (absolute):  (-18.23,  11.81)"
"DBP","limits of agreement % (relative)","(-24.5,  14.5)","limits of agreement % (relative):  (-24.5,  14.5)"
"SBP","N (excl. missing)","40","N (excl. missing):  40"
"SBP","n increased","6","n increased:  6"
"SBP","n decreased","32","n decreased:  32"
"SBP","n no change","2","n no change:  2"
"SBP","pre-venesection mean","136.25","pre-venesection mean:  136.25"
"SBP","post-venesection mean","125.38","post-venesection mean:  125.38"
"SBP","bias (absolute)","-1.088e+01 (-1.455e+01, -7.350e+00)","bias (absolute):  -1.088e+01 (-1.455e+01, -7.350e+00)"
"SBP","bias (relative)"," -8.3 (-11.0,  -5.7)","bias (relative):   -8.3 (-11.0,  -5.7)"
"SBP","Correlation","0.567 ( 0.392, 0.724)","Correlation:  0.567 ( 0.392, 0.724)"
"SBP","Coefficient of variation (CV)","-1.08 ( -1.51, -0.78)","Coefficient of variation (CV):  -1.08 ( -1.51, -0.78)"
"SBP","inverse CV","-0.925 (-1.281, -0.660)","inverse CV:  -0.925 (-1.281, -0.660)"
"SBP","log-odds","-1.551 (-2.512, -0.847)","log-odds:  -1.551 (-2.512, -0.847)"
"SBP","limits of agreement (absolute)","(-34.12,  11.42)","limits of agreement (absolute):  (-34.12,  11.42)"
"SBP","limits of agreement % (relative)","(-25.4,  8.1)","limits of agreement % (relative):  (-25.4,  8.1)"
"Carotid flow","N (excl. missing)","39","N (excl. missing):  39"
"Carotid flow","n increased","21","n increased:  21"
"Carotid flow","n decreased","18","n decreased:  18"
"Carotid flow","n no change","0","n no change:  0"
"Carotid flow","pre-venesection mean","720.1","pre-venesection mean:  720.1"
"Carotid flow","post-venesection mean","731.8","post-venesection mean:  731.8"
"Carotid flow","bias (absolute)"," 1.140e+01 (-2.930e+01,  5.210e+01)","bias (absolute):   1.140e+01 (-2.930e+01,  5.210e+01)"
"Carotid flow","bias (relative)","  2.7 ( -3.1,   8.5)","bias (relative):    2.7 ( -3.1,   8.5)"
"Carotid flow","Correlation","0.752 ( 0.507, 0.881)","Correlation:  0.752 ( 0.507, 0.881)"
"Carotid flow","Coefficient of variation (CV)","11.44 (-83.48, 80.96)","Coefficient of variation (CV):  11.44 (-83.48, 80.96)"
"Carotid flow","inverse CV"," 0.087 (-0.222,  0.444)","inverse CV:   0.087 (-0.222,  0.444)"
"Carotid flow","log-odds"," 0.154 (-0.470,  0.811)","log-odds:   0.154 (-0.470,  0.811)"
"Carotid flow","limits of agreement (absolute)","(-242.8,  265.1)","limits of agreement (absolute):  (-242.8,  265.1)"
"Carotid flow","limits of agreement % (relative)","(-33.3,  39.1)","limits of agreement % (relative):  (-33.3,  39.1)"
"Carotid flow index","N (excl. missing)","39","N (excl. missing):  39"
"Carotid flow index","n increased","21","n increased:  21"
"Carotid flow index","n decreased","18","n decreased:  18"
"Carotid flow index","n no change","0","n no change:  0"
"Carotid flow index","pre-venesection mean","356.4","pre-venesection mean:  356.4"
"Carotid flow index","post-venesection mean","364.5","post-venesection mean:  364.5"
"Carotid flow index","bias (absolute)"," 5.700e+00 (-1.430e+01,  2.540e+01)","bias (absolute):   5.700e+00 (-1.430e+01,  2.540e+01)"
"Carotid flow index","bias (relative)","  2.7 ( -3.0,   8.5)","bias (relative):    2.7 ( -3.0,   8.5)"
"Carotid flow index","Correlation","0.729 ( 0.485, 0.867)","Correlation:  0.729 ( 0.485, 0.867)"
"Carotid flow index","Coefficient of variation (CV)","11.36 (-85.34, 81.51)","Coefficient of variation (CV):  11.36 (-85.34, 81.51)"
"Carotid flow index","inverse CV"," 0.088 (-0.216,  0.440)","inverse CV:   0.088 (-0.216,  0.440)"
"Carotid flow index","log-odds"," 0.154 (-0.470,  0.811)","log-odds:   0.154 (-0.470,  0.811)"
"Carotid flow index","limits of agreement (absolute)","(-119.1,  128.9)","limits of agreement (absolute):  (-119.1,  128.9)"
"Carotid flow index","limits of agreement % (relative)","(-33.1,  38.6)","limits of agreement % (relative):  (-33.1,  38.6)"
"Cycle time","N (excl. missing)","40","N (excl. missing):  40"
"Cycle time","n increased","12","n increased:  12"
"Cycle time","n decreased","18","n decreased:  18"
"Cycle time","n no change","10","n no change:  10"
"Cycle time","pre-venesection mean","0.8975","pre-venesection mean:  0.8975"
"Cycle time","post-venesection mean","0.8882","post-venesection mean:  0.8882"
"Cycle time","bias (absolute)","-9.200e-03 (-2.750e-02,  9.000e-03)","bias (absolute):  -9.200e-03 (-2.750e-02,  9.000e-03)"
"Cycle time","bias (relative)"," -1.0 ( -3.0,   1.1)","bias (relative):   -1.0 ( -3.0,   1.1)"
"Cycle time","Correlation","0.921 ( 0.857, 0.962)","Correlation:  0.921 ( 0.857, 0.962)"
"Cycle time","Coefficient of variation (CV)","-6.41 (-63.61, 62.35)","Coefficient of variation (CV):  -6.41 (-63.61, 62.35)"
"Cycle time","inverse CV","-0.156 (-0.492,  0.152)","inverse CV:  -0.156 (-0.492,  0.152)"
"Cycle time","log-odds","-0.302 (-0.847,  0.251)","log-odds:  -0.302 (-0.847,  0.251)"
"Cycle time","limits of agreement (absolute)","(-0.1247,  0.1062)","limits of agreement (absolute):  (-0.1247,  0.1062)"
"Cycle time","limits of agreement % (relative)","(-13.8,  12.0)","limits of agreement % (relative):  (-13.8,  12.0)"
"eCBV","N (excl. missing)","38","N (excl. missing):  38"
"eCBV","n increased","3","n increased:  3"
"eCBV","n decreased","35","n decreased:  35"
"eCBV","n no change","0","n no change:  0"
"eCBV","pre-venesection mean","36390","pre-venesection mean:  36390"
"eCBV","post-venesection mean","28930","post-venesection mean:  28930"
"eCBV","bias (absolute)","-7.160e+03 (-8.990e+03, -4.990e+03)","bias (absolute):  -7.160e+03 (-8.990e+03, -4.990e+03)"
"eCBV","bias (relative)","-23.3 (-25.5, -16.7)","bias (relative):  -23.3 (-25.5, -16.7)"
"eCBV","Correlation","0.900 ( 0.845, 0.963)","Correlation:  0.900 ( 0.845, 0.963)"
"eCBV","Coefficient of variation (CV)","-0.91 ( -1.28, -0.59)","Coefficient of variation (CV):  -0.91 ( -1.28, -0.59)"
"eCBV","inverse CV","-1.099 (-1.706, -0.784)","inverse CV:  -1.099 (-1.706, -0.784)"
"eCBV","log-odds","-2.457 (  -Inf, -1.488)","log-odds:  -2.457 (  -Inf, -1.488)"
"eCBV","limits of agreement (absolute)","(-18398.030714,  6262.317234)","limits of agreement (absolute):  (-18398.030714,  6262.317234)"
"eCBV","limits of agreement % (relative)","(-36.8,  17.5)","limits of agreement % (relative):  (-36.8,  17.5)"
"ECHO CI","N (excl. missing)","38","N (excl. missing):  38"
"ECHO CI","n increased","3","n increased:  3"
"ECHO CI","n decreased","35","n decreased:  35"
"ECHO CI","n no change","0","n no change:  0"
"ECHO CI","pre-venesection mean","3.108","pre-venesection mean:  3.108"
"ECHO CI","post-venesection mean","2.665","post-venesection mean:  2.665"
"ECHO CI","bias (absolute)","-4.370e-01 (-5.360e-01, -2.960e-01)","bias (absolute):  -4.370e-01 (-5.360e-01, -2.960e-01)"
"ECHO CI","bias (relative)","-16.9 (-18.3, -11.1)","bias (relative):  -16.9 (-18.3, -11.1)"
"ECHO CI","Correlation","0.936 ( 0.908, 0.971)","Correlation:  0.936 ( 0.908, 0.971)"
"ECHO CI","Coefficient of variation (CV)","-0.90 ( -1.34, -0.62)","Coefficient of variation (CV):  -0.90 ( -1.34, -0.62)"
"ECHO CI","inverse CV","-1.106 (-1.615, -0.748)","inverse CV:  -1.106 (-1.615, -0.748)"
"ECHO CI","log-odds","-2.457 (  -Inf, -1.488)","log-odds:  -2.457 (  -Inf, -1.488)"
"ECHO CI","limits of agreement (absolute)","(-1.044,  0.434)","limits of agreement (absolute):  (-1.044,  0.434)"
"ECHO CI","limits of agreement % (relative)","(-25.1,  19.2)","limits of agreement % (relative):  (-25.1,  19.2)"
"ECHO CO","N (excl. missing)","38","N (excl. missing):  38"
"ECHO CO","n increased","3","n increased:  3"
"ECHO CO","n decreased","35","n decreased:  35"
"ECHO CO","n no change","0","n no change:  0"
"ECHO CO","pre-venesection mean","6.276","pre-venesection mean:  6.276"
"ECHO CO","post-venesection mean","5.336","post-venesection mean:  5.336"
"ECHO CO","bias (absolute)","-9.060e-01 (-1.123e+00, -6.000e-01)","bias (absolute):  -9.060e-01 (-1.123e+00, -6.000e-01)"
"ECHO CO","bias (relative)","-16.9 (-18.2, -11.1)","bias (relative):  -16.9 (-18.2, -11.1)"
"ECHO CO","Correlation","0.930 ( 0.903, 0.971)","Correlation:  0.930 ( 0.903, 0.971)"
"ECHO CO","Coefficient of variation (CV)","-0.95 ( -1.37, -0.65)","Coefficient of variation (CV):  -0.95 ( -1.37, -0.65)"
"ECHO CO","inverse CV","-1.053 (-1.539, -0.731)","inverse CV:  -1.053 (-1.539, -0.731)"
"ECHO CO","log-odds","-2.457 (  -Inf, -1.488)","log-odds:  -2.457 (  -Inf, -1.488)"
"ECHO CO","limits of agreement (absolute)","(-2.243,  0.977)","limits of agreement (absolute):  (-2.243,  0.977)"
