"Measurement","N (excl. missing)","n increased","n decreased","n no change","pre-venesection mean","post-venesection mean","bias (absolute)","bias (relative)","Correlation","Coefficient of variation (CV)","inverse CV","log-odds","limits of agreement (absolute)","limits of agreement % (relative)"
"DBP",40,11,27,2,74.83,71.3,"-3.520e+00 (-5.850e+00, -1.100e+00)"," -5.2 ( -8.3,  -2.1)","0.721 ( 0.553, 0.864)","-2.18 ( -7.15, -1.09)","-0.458 (-0.906, -0.133)","-0.847 (-1.640, -0.251)","(-18.23,  11.81)","(-24.5,  14.5)"
"SBP",40,6,32,2,136.25,125.38,"-1.088e+01 (-1.455e+01, -7.350e+00)"," -8.3 (-11.0,  -5.7)","0.567 ( 0.392, 0.724)","-1.08 ( -1.51, -0.78)","-0.925 (-1.281, -0.660)","-1.551 (-2.512, -0.847)","(-34.12,  11.42)","(-25.4,  8.1)"
"Carotid flow",39,21,18,0,720.1,731.8," 1.140e+01 (-2.930e+01,  5.210e+01)","  2.7 ( -3.1,   8.5)","0.752 ( 0.507, 0.881)","11.44 (-83.48, 80.96)"," 0.087 (-0.222,  0.444)"," 0.154 (-0.470,  0.811)","(-242.8,  265.1)","(-33.3,  39.1)"
"Carotid flow index",39,21,18,0,356.4,364.5," 5.700e+00 (-1.430e+01,  2.540e+01)","  2.7 ( -3.0,   8.5)","0.729 ( 0.485, 0.867)","11.36 (-85.34, 81.51)"," 0.088 (-0.216,  0.440)"," 0.154 (-0.470,  0.811)","(-119.1,  128.9)","(-33.1,  38.6)"
"Cycle time",40,12,18,10,0.8975,0.8882,"-9.200e-03 (-2.750e-02,  9.000e-03)"," -1.0 ( -3.0,   1.1)","0.921 ( 0.857, 0.962)","-6.41 (-63.61, 62.35)","-0.156 (-0.492,  0.152)","-0.302 (-0.847,  0.251)","(-0.1247,  0.1062)","(-13.8,  12.0)"
"eCBV",38,3,35,0,36390,28930,"-7.160e+03 (-8.990e+03, -4.990e+03)","-23.3 (-25.5, -16.7)","0.900 ( 0.845, 0.963)","-0.91 ( -1.28, -0.59)","-1.099 (-1.706, -0.784)","-2.457 (  -Inf, -1.488)","(-18398.030714,  6262.317234)","(-36.8,  17.5)"
"ECHO CI",38,3,35,0,3.108,2.665,"-4.370e-01 (-5.360e-01, -2.960e-01)","-16.9 (-18.3, -11.1)","0.936 ( 0.908, 0.971)","-0.90 ( -1.34, -0.62)","-1.106 (-1.615, -0.748)","-2.457 (  -Inf, -1.488)","(-1.044,  0.434)","(-25.1,  19.2)"
"ECHO CO",38,3,35,0,6.276,5.336,"-9.060e-01 (-1.123e+00, -6.000e-01)","-16.9 (-18.2, -11.1)","0.930 ( 0.903, 0.971)","-0.95 ( -1.37, -0.65)","-1.053 (-1.539, -0.731)","-2.457 (  -Inf, -1.488)","(-2.243,  0.977)","(-24.5,  19.2)"
"ECHO SV",38,8,30,0,80,73.14,"-6.120e+00 (-7.610e+00, -2.890e+00)"," -9.6 (-10.5,  -4.3)","0.908 ( 0.879, 0.962)","-1.48 ( -2.49, -0.93)","-0.676 (-1.070, -0.402)","-1.322 (-2.457, -0.654)","(-15.34,  13.81)","(-14.8,  23.4)"
"ECHO SVI",38,8,30,0,39.64,36.47,"-2.960e+00 (-3.700e+00, -1.420e+00)"," -9.6 (-10.5,  -4.3)","0.922 ( 0.896, 0.965)","-1.45 ( -2.48, -0.91)","-0.691 (-1.094, -0.404)","-1.322 (-2.457, -0.654)","(-7.52,  6.52)","(-15.2,  23.4)"
"Flow time",40,12,19,9,0.314,0.30925,"-4.750e-03 (-1.125e-02,  1.750e-03)"," -1.6 ( -3.8,   0.5)","0.714 ( 0.427, 0.863)","-4.52 (-41.99, 29.34)","-0.221 (-0.538,  0.091)","-0.354 (-0.969,  0.201)","(-0.04586,  0.03636)","(-15.2,  11.6)"
"FTc",40,18,21,1,0.33392,0.32997,"-3.950e-03 (-1.160e-02,  3.740e-03)"," -1.2 ( -3.4,   1.1)","0.594 ( 0.428, 0.755)","-6.30 (-67.38, 58.37)","-0.159 (-0.484,  0.159)","-0.150 (-0.788,  0.458)","(-0.05231,  0.04467)","(-15.2,  12.9)"
"HR",40,7,31,2,77.3,71.47,"-5.830e+00 (-7.750e+00, -3.900e+00)"," -7.7 (-10.2,  -5.3)","0.879 ( 0.803, 0.938)","-1.08 ( -1.69, -0.72)","-0.922 (-1.380, -0.591)","-1.386 (-2.345, -0.731)","(-18.00,  6.35)","(-23.0,  7.8)"
"IVC CI",29,16,9,4,0.4814,0.5858," 1.045e-01 ( 3.760e-02,  1.858e-01)"," 17.8 (  6.3,  30.7)","0.656 ( 0.308, 0.939)"," 1.98 (  1.37,  3.24)"," 0.505 ( 0.308,  0.730)"," 0.492 (-0.208,  1.242)","(-0.2557,  0.5425)","(-43.9,  87.4)"
"IVCe",29,4,25,0,1.7552,1.4931,"-2.621e-01 (-3.724e-01, -1.579e-01)","-20.4 (-30.5, -11.4)","0.805 ( 0.650, 0.907)","-1.16 ( -1.76, -0.79)","-0.866 (-1.266, -0.569)","-1.833 (-3.332, -0.965)","(-0.8563,  0.2987)","(-74.8,  27.9)"
"IVCi",29,2,22,5,0.9369,0.6879,"-2.490e-01 (-3.686e-01, -1.459e-01)","-37.3 (-60.4, -18.3)","0.777 ( 0.560, 0.929)","-1.25 ( -1.72, -0.85)","-0.797 (-1.173, -0.583)","-1.695 (-2.909, -0.965)","(-0.8933,  0.3063)","(-161.7,  65.1)"
"LIDCO CI",37,16,21,0,3.638,3.242,"-3.960e-01 (-7.350e-01, -9.100e-02)","-11.9 (-20.6,  -3.4)","0.540 ( 0.400, 0.712)","-2.58 ( -8.53, -1.42)","-0.388 (-0.683, -0.105)","-0.272 (-0.993,  0.383)","(-2.462,  1.456)","(-64.8,  40.0)"
